# #(c) Patrick Heenan 
# #Extension (nm),	G(q) (kcal/mol),	G(q) (upper bound) (kcal/mol),	G(q) (lower bound) (kcal/mol)
# 
1.0489641710e+01,4.6033907493e+01,3.4267164072e+01,5.7800650914e+01
1.0534278483e+01,4.6072797060e+01,3.4325390749e+01,5.7820203372e+01
1.0578915256e+01,4.6113526602e+01,3.4385000068e+01,5.7842053135e+01
1.0623552029e+01,4.6156114390e+01,3.4446085342e+01,5.7866143439e+01
1.0668188802e+01,4.6200578697e+01,3.4508750131e+01,5.7892407263e+01
1.0712825576e+01,4.6246937794e+01,3.4573105383e+01,5.7920770206e+01
1.0757462349e+01,4.6295206277e+01,3.4639262854e+01,5.7951149699e+01
1.0802099122e+01,4.6345291207e+01,3.4707238907e+01,5.7983343507e+01
1.0846735895e+01,4.6397001081e+01,3.4776839913e+01,5.8017162249e+01
1.0891372669e+01,4.6450159036e+01,3.4847830564e+01,5.8052487508e+01
1.0936009442e+01,4.6504588428e+01,3.4919971612e+01,5.8089205244e+01
1.0980646215e+01,4.6560112612e+01,3.4993023789e+01,5.8127201435e+01
1.1025282988e+01,4.6616554945e+01,3.5066750536e+01,5.8166359354e+01
1.1069919762e+01,4.6673738780e+01,3.5140919503e+01,5.8206558057e+01
1.1114556535e+01,4.6731487475e+01,3.5215302817e+01,5.8247672133e+01
1.1159193308e+01,4.6789624384e+01,3.5289676082e+01,5.8289572686e+01
1.1203830081e+01,4.6847976284e+01,3.5363817489e+01,5.8332135078e+01
1.1248466854e+01,4.6906470421e+01,3.5437555506e+01,5.8375385337e+01
1.1293103628e+01,4.6965224658e+01,3.5510934683e+01,5.8419514633e+01
1.1337740401e+01,4.7024402165e+01,3.5584079001e+01,5.8464725329e+01
1.1382377174e+01,4.7084166042e+01,3.5657112441e+01,5.8511219642e+01
1.1427013947e+01,4.7144679386e+01,3.5730161149e+01,5.8559197622e+01
1.1471650721e+01,4.7206105295e+01,3.5803355193e+01,5.8608855398e+01
1.1516287494e+01,4.7268606869e+01,3.5876829645e+01,5.8660384093e+01
1.1560924267e+01,4.7332347204e+01,3.5950724979e+01,5.8713969429e+01
1.1605561040e+01,4.7397489400e+01,3.6025186783e+01,5.8769792016e+01
1.1650197814e+01,4.7464195199e+01,3.6100365365e+01,5.8828025033e+01
1.1694834587e+01,4.7532605339e+01,3.6176442279e+01,5.8888768400e+01
1.1739471360e+01,4.7602488043e+01,3.6253192495e+01,5.8951783590e+01
1.1784108133e+01,4.7673378591e+01,3.6330111068e+01,5.9016646115e+01
1.1828744906e+01,4.7744810677e+01,3.6406690747e+01,5.9082930607e+01
1.1873381680e+01,4.7816317993e+01,3.6482425465e+01,5.9150210521e+01
1.1918018453e+01,4.7887434231e+01,3.6556810904e+01,5.9218057558e+01
1.1962655226e+01,4.7957693083e+01,3.6629344573e+01,5.9286041593e+01
1.2007291999e+01,4.8026628242e+01,3.6699525392e+01,5.9353731091e+01
1.2051928773e+01,4.8093773398e+01,3.6766852776e+01,5.9420694020e+01
1.2096565546e+01,4.8158663559e+01,3.6830825433e+01,5.9486501686e+01
1.2141202319e+01,4.8220836889e+01,3.6890936713e+01,5.9550737064e+01
1.2185839092e+01,4.8280521111e+01,3.6947520629e+01,5.9613521592e+01
1.2230475866e+01,4.8338463269e+01,3.7001512989e+01,5.9675413550e+01
1.2275112639e+01,4.8395416618e+01,3.7053857311e+01,5.9736975924e+01
1.2319749412e+01,4.8452134411e+01,3.7105498962e+01,5.9798769860e+01
1.2364386185e+01,4.8509369904e+01,3.7157385781e+01,5.9861354027e+01
1.2409022958e+01,4.8567876350e+01,3.7210467529e+01,5.9925285172e+01
1.2453659732e+01,4.8628407005e+01,3.7265694157e+01,5.9991119854e+01
1.2498296505e+01,4.8691715123e+01,3.7324012894e+01,6.0059417352e+01
1.2542933278e+01,4.8758552108e+01,3.7386362497e+01,6.0130741718e+01
1.2587570051e+01,4.8829659170e+01,3.7453612909e+01,6.0205705431e+01
1.2632206825e+01,4.8904873209e+01,3.7525438452e+01,6.0284307966e+01
1.2676843598e+01,4.8983257489e+01,3.7600619883e+01,6.0365895095e+01
1.2721480371e+01,4.9063861402e+01,3.7677931264e+01,6.0449791539e+01
1.2766117144e+01,4.9145734340e+01,3.7756160230e+01,6.0535308450e+01
1.2810753918e+01,4.9227925697e+01,3.7834110843e+01,6.0621740550e+01
1.2855390691e+01,4.9309484863e+01,3.7910604401e+01,6.0708365326e+01
1.2900027464e+01,4.9389461233e+01,3.7984478181e+01,6.0794444284e+01
1.2944664237e+01,4.9466904197e+01,3.8054582132e+01,6.0879226262e+01
1.2989301010e+01,4.9540865323e+01,3.8119775359e+01,6.0961955287e+01
1.3033937784e+01,4.9610422719e+01,3.8178978857e+01,6.1041866581e+01
1.3078574557e+01,4.9675617843e+01,3.8232331487e+01,6.1118904199e+01
1.3123211330e+01,4.9737415050e+01,3.8281001443e+01,6.1193828658e+01
1.3167848103e+01,4.9796801499e+01,3.8326173183e+01,6.1267429815e+01
1.3212484877e+01,4.9854764347e+01,3.8369030120e+01,6.1340498573e+01
1.3257121650e+01,4.9912290751e+01,3.8410758503e+01,6.1413822999e+01
1.3301758423e+01,4.9970367871e+01,3.8452549043e+01,6.1488186699e+01
1.3346395196e+01,5.0029982862e+01,3.8495596292e+01,6.1564369432e+01
1.3391031970e+01,5.0092122884e+01,3.8541095817e+01,6.1643149951e+01
1.3435668743e+01,5.0157772833e+01,3.8590237985e+01,6.1725307682e+01
1.3480305516e+01,5.0227879053e+01,3.8644218461e+01,6.1811539644e+01
1.3524942289e+01,5.0302622282e+01,3.8703416453e+01,6.1901828111e+01
1.3569579063e+01,5.0381316991e+01,3.8767264560e+01,6.1995369422e+01
1.3614215836e+01,5.0463248363e+01,3.8835168598e+01,6.2091328128e+01
1.3658852609e+01,5.0547701580e+01,3.8906543815e+01,6.2188859345e+01
1.3703489382e+01,5.0633961827e+01,3.8980818757e+01,6.2287104897e+01
1.3748126155e+01,5.0721314285e+01,3.9057437333e+01,6.2385191237e+01
1.3792762929e+01,5.0809044138e+01,3.9135859116e+01,6.2482229159e+01
1.3837399702e+01,5.0896436568e+01,3.9215557883e+01,6.2577315254e+01
1.3882036475e+01,5.0982778763e+01,3.9296018858e+01,6.2669538668e+01
1.3926673248e+01,5.1067410570e+01,3.9376618030e+01,6.2758203110e+01
1.3971310022e+01,5.1150038088e+01,3.9456687714e+01,6.2843388461e+01
1.4015946795e+01,5.1230933449e+01,3.9536019233e+01,6.2925847665e+01
